platform,area,resource_type,category,description,severity_notes,config_location,cim_mapping,nist_800_53_au,windows_equivalent
Azure,Subscription Activity Log,Subscription,Administrative,"All create / update / delete / action operations performed via Azure Resource Manager, plus RBAC role assignment changes.",Critical,Monitor -> Activity log -> Export Activity Logs,Change,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,Security,Security-related events raised against the subscription (surfaced from Microsoft Defender for Cloud).,High,Monitor -> Activity log -> Export Activity Logs,,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,ServiceHealth,"Azure service incidents, planned maintenance, and health advisories affecting the subscription.",High,Monitor -> Activity log -> Export Activity Logs,,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,Alert,Azure Monitor alert rule firings.,Medium,Monitor -> Activity log -> Export Activity Logs,Alerts,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,Recommendation,Azure Advisor cost/security/reliability/performance recommendations.,Low,Monitor -> Activity log -> Export Activity Logs,,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,Policy,Azure Policy evaluations and compliance state changes.,High,Monitor -> Activity log -> Export Activity Logs,Change.Auditing_Changes,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,Autoscale,Autoscale scale-in / scale-out actions.,Medium,Monitor -> Activity log -> Export Activity Logs,,"AU-2, AU-3, AU-12",
Azure,Subscription Activity Log,Subscription,ResourceHealth,"Resource health status transitions (Available, Unavailable, Degraded, Unknown).",High,Monitor -> Activity log -> Export Activity Logs,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,AuditLogs,"Changes to users, groups, applications, roles, policies, and licenses across the directory.",Critical - Free+Premium,Entra admin center -> Monitoring & health -> Diagnostic settings,Change.Account_Management,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,SignInLogs,Interactive user sign-ins.,Critical - Free+Premium,Entra admin center -> Monitoring & health -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",4624
Entra ID,Microsoft Entra ID,Tenant,NonInteractiveUserSignInLogs,Non-interactive sign-ins -- background and silent token refreshes on behalf of a user.,High - Premium recommended,Entra admin center -> Monitoring & health -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ServicePrincipalSignInLogs,"Application / service principal sign-ins (app-only authentication, no user present).",High - Premium recommended,Entra admin center -> Monitoring & health -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ManagedIdentitySignInLogs,Managed identity token requests.,High - Premium recommended,Entra admin center -> Monitoring & health -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ProvisioningLogs,User and group provisioning activity from connected HR systems and SCIM-based app provisioning.,Medium - P1/P2,Entra admin center -> Monitoring & health -> Diagnostic settings,Change.Account_Management,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ADFSSignInLogs,Active Directory Federation Services sign-ins (hybrid federated authentication).,Medium - Hybrid,Entra admin center -> Monitoring & health -> Diagnostic settings,Authentication,"AU-2, AU-3, AU-12",4624
Entra ID,Microsoft Entra ID,Tenant,RiskyUsers,Users flagged by Identity Protection as at elevated risk.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,RiskyServicePrincipals,Workload identities (service principals) flagged as risky.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,UserRiskEvents,"Detailed risk detections for users (leaked credentials, impossible travel, anomalous token, etc.).",High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,ServicePrincipalRiskEvents,Detailed risk detections for service principals.,High - P2,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,MicrosoftGraphActivityLogs,Every Microsoft Graph API call made against the tenant.,High - P1/P2 opt-in,Entra admin center -> Monitoring & health -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Entra ID,Microsoft Entra ID,Tenant,CustomSecurityAttributeAuditLogs,Changes to custom security attributes assigned to directory objects.,Medium - requires Attribute Log Administrator role,Entra admin center -> Monitoring & health -> Diagnostic settings (Custom section),Change.Account_Management,"AU-2, AU-3, AU-12",
